id,title,imageUrl,description,category,sizeCategory,dimensions,inspirationId1,inspirationUrl1,inspirationTitle1,inspirationId2,inspirationUrl2,inspirationTitle2,inspirationId3,inspirationUrl3,inspirationTitle3,inspirationId4,inspirationUrl4,inspirationTitle4,inspirationId5,inspirationUrl5,inspirationTitle5,inspirationId6,inspirationUrl6,inspirationTitle6
11,Groot (Guardianes de la Galaxia),https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/11%20Groot%20(Guardianes%20de%20la%20Galaxia)%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/11%20Groot%20(Guardianes%20de%20la%20Galaxia)%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/11%20Groot%20(Guardianes%20de%20la%20Galaxia)%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/11%20Groot%20(Guardianes%20de%20la%20Galaxia)%20D.webp,,Animados,mini,14x7x9 cm,11-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/11%20Groot%20(Guardianes%20de%20la%20Galaxia)%201.webp,Groot (Guardianes de la Galaxia) 1,11-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/11%20Groot%20(Guardianes%20de%20la%20Galaxia)%202.webp,Groot (Guardianes de la Galaxia) 2,11-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/11%20Groot%20(Guardianes%20de%20la%20Galaxia)%203.webp,Groot (Guardianes de la Galaxia) 3,11-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/11%20Groot%20(Guardianes%20de%20la%20Galaxia)%204.webp,Groot (Guardianes de la Galaxia) 4,11-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/11%20Groot%20(Guardianes%20de%20la%20Galaxia)%205.webp,Groot (Guardianes de la Galaxia) 5,11-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/11%20Groot%20(Guardianes%20de%20la%20Galaxia)%206.webp,Groot (Guardianes de la Galaxia) 6
12,Astronauta celebrando,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/12%20Astronauta%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/12%20Astronauta%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/12%20Astronauta%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/12%20Astronauta%20D.webp,,Astronauta,mini,18x13x10cm,12-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/12%20Astronauta%201.webp,Astronauta 1,12-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/12%20Astronauta%202.webp,Astronauta 2,12-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/12%20Astronauta%203.webp,Astronauta 3,12-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/12%20Astronauta%204.webp,Astronauta 4,12-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/12%20Astronauta%205.webp,Astronauta 5,12-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/12%20Astronauta%206.webp,Astronauta 6
13,Mario,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/13%20Mario%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/13%20Mario%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/13%20Mario%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/13%20Mario%20D.webp,,Animados,mini,15x10x10cm,13-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/13%20Mario%201.webp,Mario 1,13-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/13%20Mario%202.webp,Mario 2,13-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/13%20Mario%203.webp,Mario 3,13-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/13%20Mario%204.webp,Mario 4,13-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/13%20Mario%205.webp,Mario 5,13-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/13%20Mario%206.webp,Mario 6
14,Yoshi,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/14%20Yoshi%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/14%20Yoshi%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/14%20Yoshi%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/14%20Yoshi%20D.webp,,Animados,mini,15x10x10cm,14-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/14%20Yoshi%201.webp,Yoshi 1,14-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/14%20Yoshi%202.webp,Yoshi 2,14-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/14%20Yoshi%203.webp,Yoshi 3,14-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/14%20Yoshi%204.webp,Yoshi 4,14-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/14%20Yoshi%205.webp,Yoshi 5,14-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/14%20Yoshi%206.webp,Yoshi 6
15,Gokú Niño,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/15%20Goku%20Nino%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/15%20Goku%20Nino%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/15%20Goku%20Nino%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/15%20Goku%20Nino%20D.webp,,Animados,mini,17x10x8cm,15-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/15%20Goku%20Nino%201.webp,Gokú Niño 1,15-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/15%20Goku%20Nino%202.webp,Gokú Niño 2,15-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/15%20Goku%20Nino%203.webp,Gokú Niño 3,15-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/15%20Goku%20Nino%204.webp,Gokú Niño 4,15-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/15%20Goku%20Nino%205.webp,Gokú Niño 5,15-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/15%20Goku%20Nino%206.webp,Gokú Niño 6
16,Buda Hindú,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/16%20Buda%20Hindu%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/16%20Buda%20Hindu%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/16%20Buda%20Hindu%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/16%20Buda%20Hindu%20D.webp,,Religioso,medio,20x11x9cm,16-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/16%20Buda%20Hindu%201.webp,Buda Hindú 1,16-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/16%20Buda%20Hindu%202.webp,Buda Hindú 2,16-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/16%20Buda%20Hindu%203.webp,Buda Hindú 3,16-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/16%20Buda%20Hindu%204.webp,Buda Hindú 4,16-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/16%20Buda%20Hindu%205.webp,Buda Hindú 5,16-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/16%20Buda%20Hindu%206.webp,Buda Hindú 6
17,Virgen de Guadalupe,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/17%20Virgen%20de%20Guadalupe%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/17%20Virgen%20de%20Guadalupe%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/17%20Virgen%20de%20Guadalupe%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/17%20Virgen%20de%20Guadalupe%20D.webp,,Religioso,medio,22x10x8cm,17-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/17%20Virgen%20de%20Guadalupe%201.webp,Virgen de Guadalupe 1,17-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/17%20Virgen%20de%20Guadalupe%202.webp,Virgen de Guadalupe 2,17-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/17%20Virgen%20de%20Guadalupe%203.webp,Virgen de Guadalupe 3,17-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/17%20Virgen%20de%20Guadalupe%204.webp,Virgen de Guadalupe 4,17-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/17%20Virgen%20de%20Guadalupe%205.webp,Virgen de Guadalupe 5,17-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/17%20Virgen%20de%20Guadalupe%206.webp,Virgen de Guadalupe 6
18,Divino Niño,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/18%20Divino%20Nino%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/18%20Divino%20Nino%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/18%20Divino%20Nino%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/18%20Divino%20Nino%20D.webp,,Religioso,medio,21x6x6cm,18-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/18%20Divino%20Nino%201.webp,Divino Niño 1,18-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/18%20Divino%20Nino%202.webp,Divino Niño 2,18-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/18%20Divino%20Nino%203.webp,Divino Niño 3,18-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/18%20Divino%20Nino%204.webp,Divino Niño 4,18-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/18%20Divino%20Nino%205.webp,Divino Niño 5,18-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/18%20Divino%20Nino%206.webp,Divino Niño 6
19,Kaws,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/19%20Kaws%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/19%20Kaws%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/19%20Kaws%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/19%20Kaws%20D.webp,,Animados,medio,25x12x7cm,19-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/19%20Kaws%201.webp,Kaws 1,19-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/19%20Kaws%202.webp,Kaws 2,19-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/19%20Kaws%203.webp,Kaws 3,19-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/19%20Kaws%204.webp,Kaws 4,19-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/19%20Kaws%205.webp,Kaws 5,19-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/19%20Kaws%206.webp,Kaws 6
20,Bob Esponja esqueleto,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/20%20Bob%20Esponja%20esqueleto%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/20%20Bob%20Esponja%20esqueleto%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/20%20Bob%20Esponja%20esqueleto%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/20%20Bob%20Esponja%20esqueleto%20D.webp,,Animados,medio,20x15x8cm,20-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/20%20Bob%20Esponja%20esqueleto%201.webp,Bob Esponja esqueleto 1,20-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/20%20Bob%20Esponja%20esqueleto%202.webp,Bob Esponja esqueleto 2,20-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/20%20Bob%20Esponja%20esqueleto%203.webp,Bob Esponja esqueleto 3,20-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/20%20Bob%20Esponja%20esqueleto%204.webp,Bob Esponja esqueleto 4,20-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/20%20Bob%20Esponja%20esqueleto%205.webp,Bob Esponja esqueleto 5,20-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/20%20Bob%20Esponja%20esqueleto%206.webp,Bob Esponja esqueleto 6
