id,title,category,imageUrlBasic,imageUrlComplete,descriptionBasic,descriptionComplete,priceBasic1,priceBasic2,priceBasic3,priceBasic4,additionalPriceBasic,priceComplete1,priceComplete2,priceComplete3,priceComplete4,additionalPriceComplete,includedImagesBasic,includedImagesComplete,notes
exp1,Pinta tu figura (mini),mini,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/ExperienciaMiniBasica.webp,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/ExperienciaMiniCompleta.webp, 🐘 Figura mini (a elección)\n🩸 30ml de pintura acrílica\n🧴 10ml de barniz\n🖌️ 2 pinceles de detalle\n🎨 Paleta de mezcla (pc)\n🧤 Par de guantes desechables\n🗞 Protector de superficie (Kraft) (pc)\n🍪 Snack de cortesía\n🖼️ Tarjeta de inspiración elegida\n🗺️ Instrucciones,🐘 Figura mini (a elección)\n🩸 30ml de pintura acrílica\n🧴 10ml de barniz\n🎨 Paleta de mezcla (pc)\n🧤 Par de guantes desechables\n🗞 Protector de superficie (Kraft) (pc)\n🍪 Snack de cortesía\n🖼️ Tarjeta de inspiración impresa\n🗺️ Instrucciones\n⬜ Paño para limpiar pinceles\n🫧 Vaso para enjuagar pinceles (pc)\n🖌️ Set de 10 pinceles variados (pc)\n🧽 Esponja para texturizado\n👩‍🎨 Delantal\n🖌️ Brocha multiusos (pc),45000,79000,109000,149000,37000,79000,129000,179000,249000,61000,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/FiguraMini.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/AcrilicosFrontal.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Barniz.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Pincelesx2Diagonal.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Paleta.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Guantes.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/KraftProtector.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/SnackCalmo.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/InspiracionMini.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Guia.webp,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/FiguraMini.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/AcrilicosFrontal.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Barniz.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Paleta.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Guantes.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/KraftProtector.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/SnackCalmo.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/InspiracionMini.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Guia.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/PañoLimpieza2.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Vaso.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Pincelesx10Diagonal.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/EsponjaDiagonal.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/DelantalExtendido.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/BrochaDiagonal.webp,* Incluye 1 unidad por persona (Excepto los marcados como pc - Para compartir)
exp2,Pinta tu figura (medio),medio,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/ExperienciaMedioBasica.webp,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/ExperienciaMedioCompleta.webp,🐘 Figura media (a elección)\n🩸 45ml de pintura acrílica\n🧴 20ml de barniz\n🖌️ 2 pinceles de detalle\n🎨 Paleta de mezcla (pc)\n🧤 Par de guantes desechables\n🗞 Protector de superficie (Kraft) (pc)\n🍪 Snack de cortesía\n🖼️ Tarjeta de inspiración elegida\n🗺️ Instrucciones,🐘 Figura media (a elección)\n🩸 45ml de pintura acrílica\n🧴 20ml de barniz\n🎨 Paleta de mezcla (pc)\n🧤 Par de guantes desechables\n🗞 Protector de superficie (Kraft) (pc)\n🍪 Snack de cortesía\n🖼️ Tarjeta de inspiración impresa\n🗺️ Instrucciones\n⬜ Paño para limpiar pinceles\n🫧 Vaso para enjuagar pinceles (pc)\n🖌️ Set de 10 pinceles variados (pc)\n🧽 Esponja para texturizado\n👩‍🎨 Delantal\n🖌️ Brocha multiusos (pc),55000,99000,139000,189000,46000,89000,149000,209000,279000,70000,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/FiguraMedio.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/AcrilicosFrontal.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Barniz.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Pincelesx2Diagonal.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Paleta.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Guantes.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/KraftProtector.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/SnackCalmo.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/InspiracionMedio.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Guia.webp,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/FiguraMedio.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/AcrilicosFrontal.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Barniz.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Paleta.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Guantes.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/KraftProtector.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/SnackCalmo.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/InspiracionMedio.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Guia.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/PañoLimpieza2.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Vaso.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Pincelesx10Diagonal.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/EsponjaDiagonal.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/DelantalExtendido.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/BrochaDiagonal.webp,* Incluye 1 unidad por persona (Excepto los marcados como pc - Para compartir)
exp3,Pinta tu figura (plus),plus,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/ExperienciaPlusBasica.webp,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/ExperienciaPlusCompleta.webp,🐘 Figura plus (a elección)\n🩸 60ml de pintura acrílica\n🧴 30ml de barniz\n🖌️ 2 pinceles de detalle\n🎨 Paleta de mezcla (pc)\n🧤 Par de guantes desechables\n🗞 Protector de superficie (Kraft) (pc)\n🍪 Snack de cortesía\n🖼️ Tarjeta de inspiración elegida\n🗺️ Instrucciones,🐘 Figura plus (a elección)\n🩸 60ml de pintura acrílica\n🧴 30ml de barniz\n🎨 Paleta de mezcla (pc)\n🧤 Par de guantes desechables\n🗞 Protector de superficie (Kraft) (pc)\n🍪 Snack de cortesía\n🖼️ Tarjeta de inspiración impresa\n🗺️ Instrucciones\n⬜ Paño para limpiar pinceles\n🫧 Vaso para enjuagar pinceles (pc)\n🖌️ Set de 10 pinceles variados (pc)\n🧽 Esponja para texturizado\n👩‍🎨 Delantal\n🖌️ Brocha multiusos (pc),69000,129000,189000,249000,61000,109000,179000,249000,339000,85000,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/FiguraPlus.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/AcrilicosFrontal.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Barniz.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Pincelesx2Diagonal.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Paleta.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Guantes.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/KraftProtector.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/SnackCalmo.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/InspiracionPlus.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Guia.webp,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/FiguraPlus.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/AcrilicosFrontal.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Barniz.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Paleta.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Guantes.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/KraftProtector.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/SnackCalmo.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/InspiracionMini.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Guia.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/PañoLimpieza2.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Vaso.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Pincelesx10Diagonal.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/EsponjaDiagonal.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/DelantalExtendido.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/BrochaDiagonal.webp,* Incluye 1 unidad por persona (Excepto los marcados como pc - Para compartir)
exp4,Brinda conmigo,especiales,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/ExperienciaVino.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/KIT%20GRANDE%20VINO.webp,,🍷 Botella de vino (Lambrusco 750ml)   \n 🍫 Chocolate amargo (Sabor según disponibilidad  60g) \n 🪴 Suculenta (Apro. 5cm)  \n 💌 Dedicatoria personalizada,,49000,,,,,,,,,,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Vino.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Chocolate.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Suculenta1.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Guia.webp,,* Agrega magia a tu experiencia. Este kit es adicional y se suma al valor del plan que elijas
exp5,Café con el corazón,especiales,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/ExperienciaCafe.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/KIT%20PEQUEÑO%20CAFÉ.webp,,☕ Café Juan Valdez (70g)   \n 🗜️ Prensa francesa (2 tazas)  \n 🍪 Galletas - (Aprox. 12u)  \n 🪴 Suculenta (Aprox. 5cm)  \n 💌 Dedicatoria personalizada,,50000,,,,,,,,,,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Cafe1.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/PrensaFrancesa.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Galletas.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Suculenta2.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Guia.webp,,* Agrega magia a tu experiencia. Este kit es adicional y se suma al valor del plan que elijas
exp6,Antojo feliz,especiales,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/ExperienciaDulces.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/KIT%20PEQUEÑO%20DULCES.webp,,🐛 Recipiente de gomitas (13x8cm)   \n 🍫 Recipiente de chocolates (13x8cm)  \n 🍪 Recipiente de galletas (13x8cm) \n 💌 Dedicatoria personalizada,,41000,,,,,,,,,,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/RecipienteGomitas.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/RecipienteChocolates.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/RecipienteGalletas.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/experiences/Guia.webp,,* Agrega magia a tu experiencia. Este kit es adicional y se suma al valor del plan que elijas
